Symbol,Market_Cap,Orgname,State,contrib_id,candi_id
AHT^D,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237
AHT^F,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237
AHT^G,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237
AHT^H,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237
AHT^I,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237
AIF,214074817,Apollo,New York,Apollo--N00035483,N00035483
AINV,965183213,Apollo,New York,Apollo--N00035483,N00035483
AIR,1530981536,AAR Corp,Illinois,AAR%20Corp--N00004981,N00004981
ALE,3673440595,Allete Inc,Minnesota,Allete%20Inc--N00041511,N00041511
ALK,8725662055,Alaska Air Group,Washington,Alaska%20Air%20Group--N00007781,N00007781
ALLY,17114767064,Ally Financial,Michigan,Ally%20Financial--N00012460,N00012460
ALSN,4764377285,Allison Transmission,Indiana,Allison%20Transmission--N00029835,N00029835
AMED,8645737570,Amedisys Inc,Louisiana,Amedisys%20Inc--N00030622,N00030622
AMEH,1130394199,Apollo,California,Apollo--N00035483,N00035483
AMG,6266756769,Affiliated Managers Group,Florida,Affiliated%20Managers%20Group--N00035544,N00035544
AMGN,1.40E+11,Amgen Inc,California,Amgen%20Inc--N00005285,N00005285
AMZN,1.56E+12,Amazon.com,Washington,Amazon.com--N00000528,N00000528
APEN,162658882,Apollo,California,Apollo--N00035483,N00035483
APO,11162939036,Apollo Global Management,New York,Apollo%20Global%20Management--N00000270,N00000270
APO^A,0,Apollo Global Management,None,Apollo%20Global%20Management--N00000270,N00000270
APO^B,0,Apollo Global Management,None,Apollo%20Global%20Management--N00000270,N00000270
APSG,1042759350,Apollo,None,Apollo--N00035483,N00035483
APXT,582399200,Apex,None,Apex--N00001285,N00001285
APXTU,0,Apex,None,Apex--N00001285,N00001285
APXTW,0,Apex,None,Apex--N00001285,N00001285
AR,2984788242,Antero Resources,Colorado,Antero%20Resources--N00031681,N00031681
ARES,8162610387,Ares Management,California,Ares%20Management--N00030608,N00030608
ARES^A,0,Ares Management,None,Ares%20Management--N00030608,N00030608
ARI,2052981485,Apollo,New York,Apollo--N00035483,N00035483
ARLP,736460318,Alliance Resource Partners,Oklahoma,Alliance%20Resource%20Partners--N00031233,N00031233
ARW,8096688877,Electronics Inc,Colorado,Electronics%20Inc--N00031226,N00031226
ATGE,2019686438,Adtalem Global Education,Illinois,Adtalem%20Global%20Education--N00009888,N00009888
AZN,1.29E+11,AstraZeneca PLC,Cambridgeshire,AstraZeneca%20PLC--N00029675,N00029675
AZO,28825255690,AutoZone Inc,Tennessee,AutoZone%20Inc--N00025445,N00025445
BA,1.49E+11,Boeing Co,Illinois,Boeing%20Co--N00001813,N00001813
BAC,3.23E+11,Bank of America,North Carolina,Bank%20of%20America--N00001971,N00001971
BAC^A,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BAC^B,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BAC^E,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BAC^K,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BAC^L,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BAC^M,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BAC^N,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BAC^O,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BAC^P,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BAM,66997632987,Brookfield Asset Management,Ontario,Brookfield%20Asset%20Management--N00007727,N00007727
BATRA,1657453202,Liberty Media Corp,Colorado,Liberty%20Media%20Corp--N00041080,N00041080
BATRK,1610457192,Liberty Media Corp,Colorado,Liberty%20Media%20Corp--N00041080,N00041080
BBY,28626353389,Best Buy,Minnesota,Best%20Buy--N00027500,N00027500
BC,7915525588,Brunswick Corp,Illinois,Brunswick%20Corp--N00036409,N00036409
BC^A,0,Brunswick Corp,None,Brunswick%20Corp--N00036409,N00036409
BC^B,0,Brunswick Corp,None,Brunswick%20Corp--N00036409,N00036409
BC^C,0,Brunswick Corp,None,Brunswick%20Corp--N00036409,N00036409
BCS,43514658819,Barclays,London,Barclays--N00005285,N00005285
BCSF,988448277,Bain Capital,Massachusetts,Bain%20Capital--N00000286,N00000286
BEN,15035761622,Franklin Resources,California,Franklin%20Resources--N00033814,N00033814
BHE,1140659071,Electronics Inc,Arizona,Electronics%20Inc--N00031226,N00031226
BKR,24230818322,Baker,Texas,,
BKT,385666301,BlackRock Inc,Delaware,BlackRock%20Inc--N00000078,N00000078
BLK,1.10E+11,BlackRock Inc,New York,BlackRock%20Inc--N00000078,N00000078
BLL,27408106565,Ball Corp,Colorado,Ball%20Corp--N00003132,N00003132
BML^G,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BML^H,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BML^J,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BML^L,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
BMY,1.39E+11,Bristol-Myers Squibb,New York,Bristol-Myers%20Squibb--N00000286,N00000286
BRK/A,0,Berkshire Hathaway,None,Berkshire%20Hathaway--N00005883,N00005883
BRK/B,0,Berkshire Hathaway,None,Berkshire%20Hathaway--N00005883,N00005883
BWXT,6045855389,BWX Technologies,Virginia,BWX%20Technologies--N00001813,N00001813
BX,52090380070,Blackstone Group,None,Blackstone%20Group--N00000153,N00000153
